"","boro","block","lot","bin","lhnd","lhns","lcontpar","lsos","hhnd","hhns","hcontpar","hsos","scboro","sc5","sclgc","stname","addrtype","realb7sc","validlgcs","dapsflag","naubflag","parity","b10sc","segid","zipcode","physical_id","bbl","lnumber","rnumber","difference","interpolatedCount","finalCount","houseNums"
"563",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"11"
"564",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"13"
"565",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"15"
"566",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"17"
"567",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"19"
"568",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"21"
"569",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"49"
"570",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"51"
"571",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"53"
"572",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"55"
